content,sentiment
realiz,Neutral
spent,Neutral
wouldnt,Neutral
youtub,Neutral
coupl,Neutral
danc,Neutral
drive,Neutral
either,Neutral
small,Neutral
chanc,Neutral
debat,Neutral
due,Neutral
gun,Neutral
hungri,Neutral
nap,Neutral
wall,Neutral
afternoon,Neutral
club,Neutral
live,Neutral
negativeha,Neutral
Neutraland,Neutral
nite,Neutral
polici,Neutral
positiver,Neutral
positivewish,Neutral
wed,Neutral
york,Neutral
bday,Neutral
block,Neutral
negativehop,Neutral
nic,Neutral
worst,Neutral
youll,Neutral
horribl,Neutral
load,Neutral
Neutralwatch,Neutral
plea,Neutral
senat,Neutral
garden,Neutral
insid,Neutral
laptop,Neutral
lat,Neutral
lif,Neutral
positivedont,Neutral
behind,Neutral
cancel,Neutral
everybodi,Neutral
negativ,Neutral
negativeaww,Neutral
slow,Neutral
usual,Neutral
along,Neutral
app,Neutral
bout,Neutral
gym,Neutral
negativelol,Neutral
number,Neutral
offici,Neutral
positivethi,Neutral
chocol,Neutral
crap,Neutral
fli,Neutral
hahaha,Neutral
iowa,Neutral
mood,Neutral
paid,Neutral
past,Neutral
releas,Neutral
remind,Neutral
three,Neutral
berni,Neutral
complet,Neutral
crowd,Neutral
drop,Neutral
film,Neutral
hey,Neutral
knew,Neutral
minut,Neutral
negativehad,Neutral
sent,Neutral
daughter,Neutral
issu,Neutral
kick,Neutral
positivehop,Neutral
positiveknow,Neutral
shot,Neutral
street,Neutral
wors,Neutral
youv,Neutral
btw,Neutral
cake,Neutral
comment,Neutral
cream,Neutral
dress,Neutral
except,Neutral
line,Neutral
min,Neutral
parent,Neutral
red,Neutral
south,Neutral
xxx,Neutral
decid,Neutral
flu,Neutral
itâ,Neutral
Neutral,Neutral
parti,Neutral
positivegot,Neutral
positivelook,Neutral
positivenot,Neutral
finger,Neutral
leg,Neutral
positiveaww,Neutral
side,Neutral
upset,Neutral
apart,Neutral
arriv,Neutral
carolina,Neutral
download,Neutral
london,Neutral
mess,Neutral
negativey,Neutral
pizza,Neutral
rubio,Neutral
soooo,Neutral
sore,Neutral
happi,Neutral
presidenti,Neutral
sister,Neutral
store,Neutral
tuesday,Neutral
camera,Neutral
clean,Neutral
cook,Neutral
ipod,Neutral
Neutralthink,Neutral
Neutralwhat,Neutral
Neutralwork,Neutral
Neutraly,Neutral
son,Neutral
taken,Neutral
weird,Neutral
window,Neutral
date,Neutral
dream,Neutral
ohio,Neutral
student,Neutral
yall,Neutral
aint,Neutral
album,Neutral
dude,Neutral
especi,Neutral
expect,Neutral
googl,Neutral
negativeback,Neutral
Neutralhappi,Neutral
Neutrallol,Neutral
singl,Neutral
votetrump,Neutral
negativedamn,Neutral
Neutralc,Neutral
other,Neutral
positiv,Neutral
positivelik,Neutral
positivenic,Neutral
ppl,Neutral
system,Neutral
total,Neutral
bus,Neutral
count,Neutral
cours,Neutral
event,Neutral
funni,Neutral
includ,Neutral
jona,Neutral
manag,Neutral
negativehaha,Neutral
negativehow,Neutral
rather,Neutral
review,Neutral
revis,Neutral
rncincl,Neutral
wash,Neutral
wast,Neutral
bill,Neutral
bor,Neutral
depress,Neutral
goin,Neutral
gon,Neutral
know,Neutral
middl,Neutral
Neutralwish,Neutral
positiveglad,Neutral
positiveoff,Neutral
rate,Neutral
sleep,Neutral
upload,Neutral
across,Neutral
disappoint,Neutral
fell,Neutral
front,Neutral
mac,Neutral
met,Neutral
nobodi,Neutral
present,Neutral
vega,Neutral
appl,Neutral
bar,Neutral
cover,Neutral
florida,Neutral
graduat,Neutral
lesson,Neutral
mama,Neutral
mention,Neutral
positiveback,Neutral
possibl,Neutral
studi,Neutral
voic,Neutral
chat,Neutral
imagin,Neutral
low,Neutral
negativegood,Neutral
negativenow,Neutral
paper,Neutral
race,Neutral
receiv,Neutral
right,Neutral
sat,Neutral
season,Neutral
sigh,Neutral
sold,Neutral
stress,Neutral
terribl,Neutral
americafirst,Neutral
band,Neutral
charg,Neutral
cross,Neutral
isi,Neutral
lmao,Neutral
longer,Neutral
page,Neutral
positivemorn,Neutral
pray,Neutral
ride,Neutral
born,Neutral
box,Neutral
crash,Neutral
david,Neutral
heh,Neutral
here,Neutral
Neutralknow,Neutral
notic,Neutral
polit,Neutral
prom,Neutral
public,Neutral
push,Neutral
thursday,Neutral
amaz,Neutral
continu,Neutral
earlier,Neutral
foreign,Neutral
john,Neutral
men,Neutral
negativeawww,Neutral
negativehappi,Neutral
negativewatch,Neutral
positivegreat,Neutral
que,Neutral
shirt,Neutral
shoot,Neutral
wednesday,Neutral
wife,Neutral
allow,Neutral
burn,Neutral
cousin,Neutral
english,Neutral
negativedidnt,Neutral
univers,Neutral
weve,Neutral
chicken,Neutral
children,Neutral
design,Neutral
excit,Neutral
invit,Neutral
los,Neutral
negativetoo,Neutral
Neutralwa,Neutral
positiveget,Neutral
scare,Neutral
vot,Neutral
access,Neutral
bodi,Neutral
case,Neutral
cloth,Neutral
demsinphilli,Neutral
doctor,Neutral
donât,Neutral
drunk,Neutral
entir,Neutral
hop,Neutral
negativeget,Neutral
negativeon,Neutral
Neutralmorn,Neutral
positivedid,Neutral
pull,Neutral
refus,Neutral
roll,Neutral
screen,Neutral
tir,Neutral
ãââ,Neutral
beer,Neutral
begin,Neutral
bgt,Neutral
copi,Neutral
feet,Neutral
idk,Neutral
judg,Neutral
lay,Neutral
negativebut,Neutral
none,Neutral
north,Neutral
positivefeel,Neutral
positivelisten,Neutral
radio,Neutral
snl,Neutral
tear,Neutral
togeth,Neutral
unfortun,Neutral
airport,Neutral
ate,Neutral
cos,Neutral
debatenight,Neutral
felt,Neutral
indiana,Neutral
mark,Neutral
mike,Neutral
Neutralback,Neutral
Neutralgot,Neutral
Neutralhaha,Neutral
paint,Neutral
phon,Neutral
positivehahaha,Neutral
primari,Neutral
road,Neutral
seri,Neutral
throat,Neutral
track,Neutral
weâr,Neutral
websit,Neutral
whatev,Neutral
arm,Neutral
bag,Neutral
cost,Neutral
dishonest,Neutral
four,Neutral
heat,Neutral
imwithyou,Neutral
mate,Neutral
negativepoor,Neutral
negativether,Neutral
Neutraloff,Neutral
polic,Neutral
shoe,Neutral
shouldnt,Neutral
travel,Neutral
bike,Neutral
bye,Neutral
church,Neutral
june,Neutral
lazi,Neutral
maga,Neutral
marco,Neutral
meant,Neutral
negativelov,Neutral
positiveawww,Neutral
positivetoday,Neutral
rid,Neutral
trumpâ,Neutral
convent,Neutral
door,Neutral
dvd,Neutral
how,Neutral
memori,Neutral
myspac,Neutral
negativeyour,Neutral
pool,Neutral
practic,Neutral
profil,Neutral
sleepi,Neutral
sort,Neutral
version,Neutral
voter,Neutral
wat,Neutral
weak,Neutral
wtf,Neutral
ahead,Neutral
chees,Neutral
congrat,Neutral
flight,Neutral
hun,Neutral
ignor,Neutral
jealous,Neutral
jeb,Neutral
math,Neutral
moon,Neutral
Neutralhow,Neutral
Neutralwhi,Neutral
Neutralyour,Neutral
positivework,Neutral
prob,Neutral
slept,Neutral
announc,Neutral
appar,Neutral
boyfriend,Neutral
caught,Neutral
chip,Neutral
cup,Neutral
glass,Neutral
gop,Neutral
gut,Neutral
machin,Neutral
negativelook,Neutral
negativewow,Neutral
Neutraltri,Neutral
random,Neutral
regist,Neutral
relax,Neutral
result,Neutral
rip,Neutral
throw,Neutral
view,Neutral
bet,Neutral
canada,Neutral
danger,Neutral
econom,Neutral
edit,Neutral
fire,Neutral
forc,Neutral
homework,Neutral
hospit,Neutral
hubbi,Neutral
luv,Neutral
massiv,Neutral
negativehead,Neutral
negativeman,Neutral
Neutralne,Neutral
perform,Neutral
positiveal,Neutral
positiveenjoy,Neutral
positivether,Neutral
positivewhi,Neutral
sander,Neutral
shame,Neutral
summ,Neutral
violenc,Neutral
bbq,Neutral
bird,Neutral
etc,Neutral
land,Neutral
mexico,Neutral
negativelost,Neutral
Neutralha,Neutral
normal,Neutral
piec,Neutral
piss,Neutral
positiveawesom,Neutral
ran,Neutral
san,Neutral
sell,Neutral
swim,Neutral
tast,Neutral
vid,Neutral
age,Neutral
although,Neutral
ball,Neutral
blue,Neutral
bum,Neutral
bush,Neutral
chines,Neutral
cooki,Neutral
dear,Neutral
death,Neutral
gay,Neutral
heâ,Neutral
itll,Neutral
jack,Neutral
lgbt,Neutral
loss,Neutral
nasti,Neutral
negativewil,Neutral
Neutralthi,Neutral
nomin,Neutral
sale,Neutral
stomach,Neutral
suggest,Neutral
web,Neutral
wit,Neutral
address,Neutral
alon,Neutral
alot,Neutral
articl,Neutral
babe,Neutral
bro,Neutral
brought,Neutral
california,Neutral
celebr,Neutral
clos,Neutral
dark,Neutral
debt,Neutral
democrat,Neutral
fin,Neutral
five,Neutral
hampshir,Neutral
hannah,Neutral
ima,Neutral
negativeveri,Neutral
note,Neutral
nyc,Neutral
positivehom,Neutral
positiveveri,Neutral
positivewil,Neutral
raini,Neutral
self,Neutral
shall,Neutral
shut,Neutral
step,Neutral
via,Neutral
brain,Neutral
cal,Neutral
fri,Neutral
goodby,Neutral
illeg,Neutral
plac,Neutral
politician,Neutral
round,Neutral
secret,Neutral
stage,Neutral
terrorist,Neutral
ton,Neutral
traffic,Neutral
truli,Neutral
welcom,Neutral
freak,Neutral
gam,Neutral
gig,Neutral
guitar,Neutral
holli,Neutral
info,Neutral
marri,Neutral
negativehom,Neutral
negativewait,Neutral
Neutralstil,Neutral
often,Neutral
orlando,Neutral
positivemiss,Neutral
positiveon,Neutral
positivesound,Neutral
positivewelcom,Neutral
program,Neutral
social,Neutral
texa,Neutral
tom,Neutral
trade,Neutral
troubl,Neutral
tune,Neutral
yum,Neutral
confus,Neutral
discuss,Neutral
fac,Neutral
fam,Neutral
folk,Neutral
fox,Neutral
hotel,Neutral
husband,Neutral
island,Neutral
jump,Neutral
lame,Neutral
latest,Neutral
letâ,Neutral
lone,Neutral
negat,Neutral
negativelast,Neutral
network,Neutral
Neutrallook,Neutral
positivecool,Neutral
positivehow,Neutral
swine,Neutral
terror,Neutral
veteran,Neutral
whos,Neutral
wil,Neutral
art,Neutral
background,Neutral
board,Neutral
canât,Neutral
chicago,Neutral
chill,Neutral
empti,Neutral
general,Neutral
germani,Neutral
given,Neutral
mix,Neutral
negativecan,Neutral
negativedid,Neutral
negativesit,Neutral
Neutrallov,Neutral
positivenow,Neutral
reach,Neutral
seat,Neutral
situat,Neutral
stick,Neutral
support,Neutral
twit,Neutral
type,Neutral
border,Neutral
boss,Neutral
breath,Neutral
burnt,Neutral
decis,Neutral
delet,Neutral
doubl,Neutral
dumb,Neutral
floor,Neutral
flower,Neutral
handl,Neutral
huh,Neutral
joe,Neutral
juli,Neutral
justin,Neutral
mobil,Neutral
negativeoff,Neutral
negativetir,Neutral
negativewher,Neutral
Neutralr,Neutral
plane,Neutral
pop,Neutral
replac,Neutral
schedul,Neutral
teacher,Neutral
thru,Neutral
tip,Neutral
usa,Neutral
vet,Neutral
wine,Neutral
zero,Neutral
attempt,Neutral
attend,Neutral
biggest,Neutral
bottl,Neutral
bowl,Neutral
buddi,Neutral
child,Neutral
contact,Neutral
coz,Neutral
credit,Neutral
doubt,Neutral
dri,Neutral
egg,Neutral
fear,Neutral
file,Neutral
followfriday,Neutral
grandma,Neutral
hasnt,Neutral
host,Neutral
las,Neutral
limit,Neutral
match,Neutral
moth,Neutral
Neutralil,Neutral
Neutralon,Neutral
positivestil,Neutral
save,Neutral
smell,Neutral
tonit,Neutral
treat,Neutral
tru,Neutral
virginia,Neutral
werent,Neutral
anim,Neutral
carri,Neutral
code,Neutral
current,Neutral
delay,Neutral
dem,Neutral
destroy,Neutral
foot,Neutral
form,Neutral
hehe,Neutral
jay,Neutral
lyin,Neutral
mak,Neutral
milk,Neutral
mistak,Neutral
momma,Neutral
negativeb,Neutral
negativegod,Neutral
negativethey,Neutral
Neutralwil,Neutral
order,Neutral
penc,Neutral
perhap,Neutral
pink,Neutral
positiveha,Neutral
positivene,Neutral
puppi,Neutral
scari,Neutral
sens,Neutral
trail,Neutral
twilight,Neutral
washington,Neutral
wonder,Neutral
assign,Neutral
believ,Neutral
color,Neutral
commanderinchief,Neutral
consid,Neutral
control,Neutral
convers,Neutral
fill,Neutral
market,Neutral
negativear,Neutral
negativebor,Neutral
negativenev,Neutral
Neutralbut,Neutral
Neutraldid,Neutral
Neutralh,Neutral
Neutralhop,Neutral
Neutralnew,Neutral
Neutraltoo,Neutral
onto,Neutral
pennsylvania,Neutral
positiveexcit,Neutral
positivehead,Neutral
positivelast,Neutral
positivenew,Neutral
prayer,Neutral
press,Neutral
row,Neutral
ruin,Neutral
weath,Neutral
xoxo,Neutral
appear,Neutral
bath,Neutral
blood,Neutral
camp,Neutral
center,Neutral
coff,Neutral
common,Neutral
confer,Neutral
daddi,Neutral
detail,Neutral
drag,Neutral
equal,Neutral
exhaust,Neutral
expens,Neutral
favourit,Neutral
freakin,Neutral
french,Neutral
frenchiebday,Neutral
iâm,Neutral
idea,Neutral
instal,Neutral
member,Neutral
nail,Neutral
neck,Neutral
negativetoday,Neutral
Neutralnow,Neutral
Neutralther,Neutral
Neutralwould,Neutral
positiveil,Neutral
price,Neutral
print,Neutral
respond,Neutral
scream,Neutral
sever,Neutral
spell,Neutral
straight,Neutral
third,Neutral
trumptrain,Neutral
wolverin,Neutral
youd,Neutral
bare,Neutral
base,Neutral
bear,Neutral
blackberri,Neutral
buy,Neutral
creat,Neutral
fat,Neutral
feelin,Neutral
gotten,Neutral
jam,Neutral
kasich,Neutral
negativedo,Neutral
negativeguess,Neutral
negativemorn,Neutral
negativewhen,Neutral
negativewould,Neutral
Neutralbor,Neutral
Neutralget,Neutral
Neutralnop,Neutral
nevada,Neutral
novemb,Neutral
peep,Neutral
phoni,Neutral
positivesaw,Neutral
privat,Neutral
product,Neutral
realis,Neutral
rig,Neutral
spam,Neutral
starbuck,Neutral
statement,Neutral
storm,Neutral
sum,Neutral
surgeri,Neutral
upd,Neutral
coast,Neutral
crush,Neutral
draw,Neutral
dunno,Neutral
earth,Neutral
father,Neutral
hat,Neutral
howev,Neutral
jon,Neutral
kil,Neutral
kitti,Neutral
mail,Neutral
main,Neutral
mouth,Neutral
msn,Neutral
muslim,Neutral
negativesick,Neutral
negativewond,Neutral
positivebut,Neutral
positivetim,Neutral
ring,Neutral
romney,Neutral
sam,Neutral
screw,Neutral
share,Neutral
sis,Neutral
smil,Neutral
somewher,Neutral
soup,Neutral
sur,Neutral
teach,Neutral
thx,Neutral
anybodi,Neutral
area,Neutral
australia,Neutral
bang,Neutral
ben,Neutral
daili,Neutral
dentist,Neutral
drug,Neutral
elizabeth,Neutral
essay,Neutral
fml,Neutral
gettin,Neutral
golf,Neutral
grey,Neutral
hug,Neutral
interest,Neutral
knock,Neutral
lake,Neutral
loud,Neutral
miami,Neutral
mus,Neutral
negativefin,Neutral
Neutraldo,Neutral
Neutralmiss,Neutral
Neutralsay,Neutral
outta,Neutral
para,Neutral
positivecan,Neutral
positivesur,Neutral
positivewould,Neutral
ryan,Neutral
set,Neutral
six,Neutral
smoke,Neutral
somebodi,Neutral
spot,Neutral
studio,Neutral
sweeti,Neutral
taylor,Neutral
thousand,Neutral
toe,Neutral
tummi,Neutral
tweetdeck,Neutral
unless,Neutral
warren,Neutral
wild,Neutral
wisconsin,Neutral
britain,Neutral
cell,Neutral
citizen,Neutral
collect,Neutral
crack,Neutral
disast,Neutral
doc,Neutral
fever,Neutral
fish,Neutral
hangov,Neutral
inday,Neutral
itun,Neutral
jus,Neutral
leno,Neutral
librari,Neutral
local,Neutral
negativeal,Neutral
negativefuck,Neutral
negativesh,Neutral
Neutralcan,Neutral
Neutralfeel,Neutral
Neutrallisten,Neutral
Neutralnoth,Neutral
noon,Neutral
obvious,Neutral
philippin,Neutral
positiveh,Neutral
positivewhen,Neutral
search,Neutral
senior,Neutral
skin,Neutral
sky,Neutral
spring,Neutral
teeth,Neutral
term,Neutral
tha,Neutral
topic,Neutral
toy,Neutral
wage,Neutral
west,Neutral
wrote,Neutral
admit,Neutral
âdonald,Neutral
button,Neutral
choos,Neutral
chris,Neutral
click,Neutral
cough,Neutral
court,Neutral
dang,Neutral
deb,Neutral
def,Neutral
despit,Neutral
eith,Neutral
fals,Neutral
forhour,Neutral
fourth,Neutral
grab,Neutral
insan,Neutral
intern,Neutral
iron,Neutral
lift,Neutral
log,Neutral
michael,Neutral
miley,Neutral
most,Neutral
negativeanoth,Neutral
negativestupid,Neutral
negativeway,Neutral
Neutralar,Neutral
Neutralmak,Neutral
Neutralthey,Neutral
positivefinish,Neutral
positivefor,Neutral
positiveplay,Neutral
positivesay,Neutral
potenti,Neutral
rais,Neutral
recent,Neutral
shell,Neutral
ship,Neutral
sooooo,Neutral
suit,Neutral
victim,Neutral
abt,Neutral
arizona,Neutral
bottom,Neutral
cnn,Neutral
colorado,Neutral
con,Neutral
confirm,Neutral
crimin,Neutral
deserv,Neutral
distract,Neutral
divid,Neutral
doesnât,Neutral
dollar,Neutral
driver,Neutral
enter,Neutral
evil,Neutral
fault,Neutral
flat,Neutral
forum,Neutral
goofi,Neutral
hide,Neutral
high,Neutral
idiot,Neutral
inhour,Neutral
king,Neutral
lightweight,Neutral
marathon,Neutral
matt,Neutral
mile,Neutral
militari,Neutral
nam,Neutral
negativegonna,Neutral
negativenew,Neutral
negativewanna,Neutral
neighbor,Neutral
Neutraltir,Neutral
Neutralway,Neutral
nit,Neutral
plant,Neutral
positivear,Neutral
positivegonna,Neutral
positivehello,Neutral
positivelmao,Neutral
positivemak,Neutral
positivetri,Neutral
positivewanna,Neutral
prevent,Neutral
respons,Neutral
scar,Neutral
session,Neutral
settl,Neutral
slight,Neutral
theyv,Neutral
timberlak,Neutral
toast,Neutral
unfair,Neutral
unfit,Neutral
within,Neutral
advic,Neutral
audit,Neutral
august,Neutral
brok,Neutral
cod,Neutral
comp,Neutral
crappi,Neutral
deleg,Neutral
difficult,Neutral
everywher,Neutral
exist,Neutral
explain,Neutral
extrem,Neutral
fake,Neutral
grad,Neutral
held,Neutral
hill,Neutral
hold,Neutral
inde,Neutral
jun,Neutral
kitchen,Neutral
known,Neutral
lack,Neutral
letter,Neutral
liar,Neutral
liter,Neutral
locat,Neutral
mexican,Neutral
michigan,Neutral
montana,Neutral
mov,Neutral
Neutralal,Neutral
Neutralshould,Neutral
Neutralwait,Neutral
Neutralwanna,Neutral
nowher,Neutral
offer,Neutral
pet,Neutral
positiveokay,Neutral
process,Neutral
request,Neutral
sandwich,Neutral
stream,Neutral
struggl,Neutral
sudden,Neutral
sydney,Neutral
tel,Neutral
tree,Neutral
tweep,Neutral
uncl,Neutral
uni,Neutral
wet,Neutral
whether,Neutral
youâr,Neutral
accid,Neutral
answer,Neutral
appli,Neutral
appoint,Neutral
atam,Neutral
atm,Neutral
batteri,Neutral
chillin,Neutral
china,Neutral
christian,Neutral
crime,Neutral
critic,Neutral
desper,Neutral
dinn,Neutral
doin,Neutral
england,Neutral
fitn,Neutral
fraud,Neutral
give,Neutral
gross,Neutral
ili,Neutral
macbook,Neutral
mall,Neutral
mcfli,Neutral
mitt,Neutral
negativeabout,Neutral
negativethought,Neutral
net,Neutral
Neutralhello,Neutral
Neutralyep,Neutral
nick,Neutral
organ,Neutral
pol,Neutral
quiz,Neutral
research,Neutral
ridicul,Neutral
root,Neutral
sheâ,Neutral
strang,Neutral
sux,Neutral
swear,Neutral
touch,Neutral
twice,Neutral
