sentiment,content
negative,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
neutral,@lepetitagneau what's going on sweetheart?
neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
negative,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
neutral,@willxxmobb work at 6am. Gotta go to bed soon
positive,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
negative,@sweeetnspicy hiii im on my ipod...i cant fall asleep
negative,dont wanna work 11-830 tomorrow  but i get paid
negative,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
neutral,PrinceCharming
negative,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
negative,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
negative,@mrgenius23 You win ... SIGH Rakeem
neutral,Oh is that time for real?
negative,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
negative,Oh no one minute too late! Oh well
negative,"@soviet_star Damn, that sucks"
negative,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
negative,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
negative,ahh! big scary bug flying around my room!!!!!
negative,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
negative,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
neutral,@justamedicine  That was stone cold   Crazy....  ?
neutral,i'm so tired
neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
neutral,@thecreativeone I second that. I wish it rained more where I am
negative,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
neutral,damn it were is Eric or anyone else when you need your hair to be played with
neutral,I'm feel deflated. Ugh. No more dog.
negative,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
neutral,Well it almost was a good day... Guess I just retry tomorrow
negative,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
positive,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
negative,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
negative,@britblackbird  youstinkatrespondingtotexts!
negative,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
positive,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
negative,Is miserable  i feel like im gona cry  sux!
neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
negative,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
positive,Pats in philly at 2 am. I positive it. Mmm cheesesteak.  Miss my boyfriend   but I positive vacation.
negative,*sigh* I'm going to bed... I just don't feel right anymore...
neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
neutral,@jwillock EpiCentre Wheelock Place - tourists only..
negative,Now I am depressed after watching so you think you can dance
negative,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
neutral,miss 16'th
neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
negative,"I cant sleep, but im too sore to move"
neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
neutral,@softtouchme just answered you- never learned how to write in French- just basic stuff-
neutral,what is it with chocolates? i just can never say no
negative,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
negative,@omfgiselle i cant do anything
neutral,still needs another 6 hours of sleep
positive,I'm at work
positive,RIP leonardo. You were a great mini fiddler crab
neutral,"Morning tweeple,way to early again"
negative,"Last day working for the Uni today, sad times"
positive,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
negative,My head hurts so bad I could scream!
negative,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
negative,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
negative,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
negative,oh men!!!!!!......I really can't see my face........c'mon guys!!!
negative,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
negative,my sole supporter is not my sole supporter
negative,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
negative,@Emilyyy16 urgh stop it guys
negative,is still missing her husband.    I really want him home.
negative,I miss my puppy
positive,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
positive,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
negative,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
negative,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
negative,@BarbSchaefer yearling in pet home died... very sad for their whole family
neutral,fun in the sun hmmm hell no it's cold
negative,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
negative,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
negative,is feeling sad... for some reason..  http://plurk.com/p/wxji3
negative,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
negative,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
neutral,@juneyee i don't think so.  I WANT DETAILS.
neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
negative,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
neutral,my last tweet didn't send  bad phone
positive,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
neutral,Have a headache  I'm going to bed. Goodnight!
neutral,@taxidermi  I was watching Parental Control
positive,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
negative,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
negative,@jertronic it wont let me
negative,Took a shift tomorrow.    I don't really feel like working right now.
negative,but now i have no money for a phone
negative,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
negative,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
positive,@Bern_morley where are you? In Bris? I can't hear any thunder
positive,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
negative,Too bad the Red Devils.. disappointing to say the least
positive,I had a dream about a pretty pretty beach and there was no beach when I woke up
negative,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
positive,when da heck will the garage man get here I ask you.. WHEN..
negative,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
negative,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
negative,why are plane tickets so expensive
positive,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
negative,Needs a job BADLY!!!
negative,@AlexanderGWhite daaammmnnnnn I do wish I was there.
negative,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
negative,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
neutral,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
negative,is a bad friend
neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
negative,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
neutral,@aiderushton ill be over in an oir
neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
negative,would wish the severe migrains would stop!!! doc's prescriptions arent working
positive,@bobbyedner i missed the game
negative,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
negative,@tiffalo cuz airlines are super lame.
negative,@lenje - Still a pity it comes with no lamb though
negative,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
positive,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
negative,I'm so very tired...and have insomnia.
neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
negative,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
neutral,@MrRathbone what about me
neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
negative,people in my house do not know how to close doors
positive,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
negative,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
negative,Had to cancel wow for now
negative,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
negative,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
negative,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
negative,@__sugar oh no  i am always here ;) &lt;3
neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
positive,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
positive,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
negative,Up late with nothin 2 do.....
negative,i think the vog is making me sicker than i think. feeling slightly achy
neutral,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"
negative,i am doing homework it sux big time maths is the worst!!!!!!
neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
neutral,#3wordsaftersex it never started...
negative,sometimes i wish things could go back to the way they were the beginning of last summer
negative,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
neutral,@tarng Trudy's off Burnet...the one up north that no one goes to
negative,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
positive,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
negative,i'm sooooooooooooo confused
neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
negative,"Work day 7 of 7,"
positive,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
negative,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
neutral,@mysticnz no im not  cries LOL
negative,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
positive,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
negative,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
neutral,Come on Knight... It's been well over 4 hours
negative,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
positive,@FoxxFiles aw u can't let me in on the secret!
positive,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
negative,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
negative,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
negative,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
neutral,twittascope is NOT rocking my socks - go away already!!
neutral,Driving Back home because I forgot the piece of cake for @v_era
negative,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
negative,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
negative,It's pissing me off and not letting me follow ericka
negative,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
negative,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
neutral,@koifusionpdx i was so close to the tacos...one spot too late
neutral,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
positive,is thinking so much and i'm at work
negative,I have forgot the live with the Jonas Brothers on Facebook
negative,I haven't seen Muffin in two whole days!
negative,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
positive,my gap year is going so quick
negative,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
negative,my twitter has been hacked again
negative,Just found mj mouse flats at DJs. Of course there are none left in my size
neutral,@passingcarss i wont have time to buy  and i need a new binder pa
negative,@lanacaitlin  hahaha well its try its so ugly
neutral,25-man Ulduar is hard...
negative,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
positive,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
neutral,@princess_oats this is happening to me too
positive,@qi_tah oh no.  *hugs*
neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
negative,@xoshayzers i knoww  things won't be the samee &lt;/3
negative,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
positive,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
negative,"Okay, so twitter suddenly changed, how do I respond to messages now"
neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
negative,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
negative,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
negative,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
negative,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
negative,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
negative,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
negative,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
neutral,@sillybabyjulie me too
neutral,@digenis that story reminds of living in Portugal
neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
positive,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
negative,my roommate @tess_tickle loves to ignore me
neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
positive,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
negative,my teeth and head hurts
negative,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
negative,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
neutral,Waiting in line @ tryst
negative,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
negative,I need to be held...  Gnite.
negative,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
negative,no more arrested development. i am sad.
neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
negative,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
negative,I feel so deflated. No more doggy.
negative,@blood_rain i wanna see her hair  hows everyone?
negative,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
negative,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
negative,Aww...  Pray for the arroyo family everyone!
neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
negative,Fuuudge. Movie store is closed
negative,ALO is so sad and quiet and empty tonight
negative,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
negative,@wuzzyangel You never answered your DM I sent you....   I need your info...
negative,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
negative,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
negative,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
negative,@jose3030 I didn't think anyone caught that
neutral,I need to be sleeping.. But i'm not even tired..
neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
neutral,"lyin in bed, up faaaaar too early"
negative,Sad that Christian Lacroix had to file bankruptcy
negative,I dont feel good AT ALL. fuckkk
neutral,why did i agree to work a double shift
negative,looks like i'll never go to the zoo
negative,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
neutral,When will Medhurst play again?
negative,@Moss1982 bad times?
negative,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
negative,Have to go to the dreaded DMV tomorrow
neutral,@duncm I'm a bit Ben's Thai-ed out
positive,english class! working on interactive orals
negative,@SharonHayes Thank you for the rec but that doesn't work
neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
negative,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
negative,I don't know how ima work out tomorrow wit my body dis sore  ugh
neutral,in 7-11  w/o you
neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
negative,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
negative,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
negative,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
negative,"Lady across the way had a miscarriage, say a prayer"
negative,God I just want to sleep.
negative,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
negative,I feel so deflated. No more doggy.
negative,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
negative,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
negative,is feeling bad  just got bad news about my Mum
negative,@RealBlackWidow But but I dun wanna
negative,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
negative,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
negative,don't feel like working  I think I tweet this too often!
negative,feels sick to my stomach and idkk whyy
negative,vineri...nimic special sau probabil un alt weekend pierdut...
neutral,Counting the hours of lost sunshine until the Weekend
positive,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
positive,is home.  safely... but hungry
negative,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
negative,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
neutral,good morning work this morning gutted lol nevermind
negative,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
positive,FB is boring   and i wanna sing RIGHT NOW..! *-*
negative,@judyrey  The link doesn't work
neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
negative,The humpalow um ya I think so... Cell is dying
negative,Last day at work...Sick to the bone
negative,i feel like I'm on house arrest.
neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
positive,@heavenjones ur supposed to be in BK tho
negative,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
positive,Oh no!  Nighty night.
positive,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
negative,my stupid tooooth hurts
positive,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
neutral,Ready To Go @ School
negative,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
negative,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
negative,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
negative,my dog ran awayyy
negative,@all_is_one84 Those suck so bad.
negative,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
positive,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
negative,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
